<<<<<<< HEAD
Ship_Type,DWT,Engine_Power_kW,Design_Speed,Avg_Speed_Knots,Distance_NM,Draft_Percentage,Wind_Beaufort,Wave_Height_m,Current_Speed_Knots,Current_Direction,Season,Fuel_Consumption_Tons
Bulker,174139,107317,1132.9,159.6,13.4,69,Moderate,2-Stroke,108029,158.9,Controllable Pitch,825,11.8,Variable,Northeast Monsoon,5,Quartering,2.3,1.6,Beam,VLSFO,9.0,821.62
Bulker,95138,59607,868.6,119.0,14.3,62,Clean,2-Stroke,84819,167.7,Controllable Pitch,3310,8.9,Variable,Inter-Monsoon,5,Quartering,2.4,2.3,Following,VLSFO,5.2,951.86
Container,153731,134816,1084.4,150.4,19.5,74,Clean,2-Stroke,263895,168.3,Fixed Pitch,6916,10.3,Constant,Southwest Monsoon,9,Following,4.5,1.3,Head,VLSFO,0.0,8550.35
Tanker,334506,222137,1524.8,214.1,15.7,76,Heavy,2-Stroke,217828,165.2,Fixed Pitch,1145,10.5,Variable,Inter-Monsoon,8,Quartering,3.6,3.0,Beam,VLSFO,2.9,1704.46
Bulker,96469,54844,868.5,122.6,12.9,84,Moderate,2-Stroke,76206,160.2,Fixed Pitch,7459,6.6,Variable,Inter-Monsoon,4,Following,2.3,2.3,Head,MGO,8.1,5322.24
LNG,109111,92554,926.7,129.9,19.3,87,Heavy,2-Stroke,227390,168.5,Fixed Pitch,4924,13.9,Constant,Inter-Monsoon,6,Beam,3.1,0.4,Head,HFO,0.0,7855.48
Ro-Ro,37957,40487,564.9,77.4,18.8,67,Clean,2-Stroke,97503,167.4,Fixed Pitch,7105,16.6,Constant,Inter-Monsoon,9,Following,4.3,0.2,Beam,VLSFO,0.0,4609.39
LNG,93168,80211,858.3,119.1,19.1,84,Heavy,2-Stroke,182453,164.3,Fixed Pitch,7331,17.6,Variable,Inter-Monsoon,1,Following,0.3,0.6,Head,VLSFO,6.4,12001.86
Tanker,170629,111054,1124.9,158.8,16.9,94,Clean,2-Stroke,193244,170.5,Fixed Pitch,6588,13.9,Constant,Southwest Monsoon,6,Following,2.8,0.1,Beam,HFO,0.0,10081.42
Container,205074,170564,1225.3,171.8,24.4,71,Clean,2-Stroke,554880,160.2,Fixed Pitch,4096,18.0,Constant,Inter-Monsoon,3,Following,1.1,2.5,Beam,VLSFO,0.0,8666.31
LNG,69990,63485,757.4,106.9,17.4,53,Moderate,2-Stroke,128649,160.9,Fixed Pitch,3733,13.5,Constant,Inter-Monsoon,6,Quartering,3.0,0.4,Head,VLSFO,0.0,2764.84
Tanker,169362,129288,1129.8,157.1,13.2,60,Moderate,2-Stroke,97609,161.2,Controllable Pitch,2887,8.3,Constant,Southwest Monsoon,7,Head,3.5,0.0,Beam,VLSFO,0.0,2050.85
Ro-Ro,51367,58939,657.4,92.4,18.7,60,Moderate,2-Stroke,130538,170.3,Fixed Pitch,5390,12.9,Constant,Northeast Monsoon,9,Quartering,4.5,0.2,Head,VLSFO,0.0,3904.26
Ro-Ro,47548,47584,633.5,88.5,20.9,65,Heavy,2-Stroke,159599,154.6,Controllable Pitch,7367,16.0,Constant,Inter-Monsoon,9,Head,4.6,0.6,Head,MGO,0.0,8727.6
Ro-Ro,50953,56749,663.5,92.0,21.0,98,Clean,2-Stroke,165010,166.0,Fixed Pitch,7380,16.3,Constant,Inter-Monsoon,4,Quartering,2.1,1.2,Following,VLSFO,0.0,6106.46
Ro-Ro,45220,47108,619.5,87.1,16.5,94,Clean,2-Stroke,82721,163.3,Fixed Pitch,7794,13.6,Constant,Southwest Monsoon,2,Quartering,1.0,2.3,Beam,VLSFO,0.0,5319.13
Bulker,168855,96006,1129.2,158.0,14.6,67,Clean,2-Stroke,144058,158.2,Fixed Pitch,1475,8.9,Constant,Southwest Monsoon,2,Beam,1.0,1.0,Beam,HFO,0.0,1150.82
Tanker,252653,175625,1350.2,191.2,16.5,52,Clean,2-Stroke,217947,171.4,Fixed Pitch,1358,8.4,Constant,Southwest Monsoon,5,Head,2.6,2.8,Following,HFO,0.0,989.2
LNG,101704,89981,896.7,125.3,20.0,85,Clean,2-Stroke,202210,154.8,Fixed Pitch,2744,10.6,Variable,Southwest Monsoon,2,Head,1.0,0.2,Beam,VLSFO,9.4,2172.04
Container,93768,73511,861.5,121.8,21.2,62,Clean,2-Stroke,258110,160.5,Fixed Pitch,5033,14.9,Constant,Inter-Monsoon,9,Beam,4.6,2.1,Beam,VLSFO,0.0,5848.93
Tanker,131772,90118,1004.0,140.5,14.0,80,Clean,2-Stroke,97944,168.8,Fixed Pitch,1364,9.5,Constant,Southwest Monsoon,4,Head,2.1,2.4,Following,LNG,0.0,624.16
LNG,62268,55073,723.7,101.3,16.6,70,Moderate,2-Stroke,96973,166.1,Controllable Pitch,2039,12.6,Constant,Inter-Monsoon,6,Following,3.1,1.8,Beam,VLSFO,0.0,1318.09
Bulker,98630,63900,886.0,123.5,12.0,67,Moderate,2-Stroke,64317,169.5,Controllable Pitch,4106,6.3,Constant,Inter-Monsoon,1,Head,0.6,2.5,Head,VLSFO,0.0,2964.97
Bulker,200899,125990,1213.3,168.3,14.6,86,Clean,2-Stroke,149823,163.6,Fixed Pitch,5229,9.6,Constant,Northeast Monsoon,4,Beam,1.9,1.9,Head,HFO,0.0,7342.72
Ro-Ro,12502,14488,346.6,49.2,17.0,90,Clean,2-Stroke,43316,169.3,Fixed Pitch,5178,8.8,Constant,Northeast Monsoon,6,Following,3.0,2.1,Beam,HFO,0.0,1082.32
LNG,98266,82369,885.2,124.2,16.7,83,Moderate,2-Stroke,127823,162.9,Controllable Pitch,7560,12.5,Constant,Southwest Monsoon,1,Following,0.5,1.2,Head,HFO,0.0,8024.54
Container,75164,55399,790.8,111.2,21.0,98,Heavy,2-Stroke,192936,165.4,Fixed Pitch,3137,10.8,Constant,Southwest Monsoon,1,Head,0.8,1.2,Following,VLSFO,0.0,2039.22
LNG,114146,98943,943.2,133.7,18.9,65,Moderate,2-Stroke,196920,160.9,Controllable Pitch,4019,15.7,Variable,Inter-Monsoon,7,Following,3.4,2.9,Head,HFO,9.6,6363.23
Tanker,348083,259840,1559.0,217.5,16.3,91,Heavy,2-Stroke,259710,158.8,Fixed Pitch,5470,11.7,Constant,Inter-Monsoon,8,Quartering,4.2,0.4,Following,VLSFO,0.0,10438.1
Bulker,91516,59175,862.7,120.9,15.5,57,Moderate,2-Stroke,113395,165.0,Fixed Pitch,1549,12.6,Constant,Southwest Monsoon,8,Following,4.0,0.3,Following,VLSFO,0.0,1140.07
Ro-Ro,11574,13047,344.2,48.2,20.4,90,Heavy,2-Stroke,65470,165.9,Controllable Pitch,1242,13.8,Variable,Inter-Monsoon,1,Beam,0.6,1.7,Following,VLSFO,4.3,331.78
Tanker,316201,210072,1497.6,208.8,13.3,52,Clean,2-Stroke,151469,162.3,Fixed Pitch,6923,12.1,Constant,Inter-Monsoon,3,Head,1.4,2.6,Following,HFO,0.0,5526.76
Tanker,63249,43204,721.2,99.9,15.9,88,Moderate,2-Stroke,88238,167.5,Fixed Pitch,4161,12.6,Constant,Inter-Monsoon,3,Head,1.2,0.5,Beam,HFO,0.0,3114.17
Container,198082,169646,1217.9,169.5,22.7,64,Clean,2-Stroke,474920,160.8,Fixed Pitch,7648,12.5,Constant,Inter-Monsoon,4,Quartering,1.8,0.4,Following,VLSFO,0.0,10745.09
Tanker,335512,229762,1528.1,214.0,16.7,60,Moderate,2-Stroke,267044,170.5,Fixed Pitch,5380,15.8,Variable,Inter-Monsoon,6,Head,3.3,0.1,Head,MGO,5.0,13785.46
LNG,67443,61149,743.7,104.9,18.6,51,Clean,2-Stroke,135783,158.4,Controllable Pitch,1271,16.4,Variable,Inter-Monsoon,1,Following,0.7,2.1,Beam,HFO,2.7,937.03
Tanker,330896,216180,1533.4,214.9,13.4,60,Clean,2-Stroke,156422,166.7,Fixed Pitch,3721,11.0,Constant,Southwest Monsoon,1,Beam,0.3,2.9,Following,VLSFO,0.0,2446.57
Ro-Ro,42817,49493,613.1,85.2,16.1,67,Clean,2-Stroke,72610,172.2,Fixed Pitch,7164,8.8,Variable,Inter-Monsoon,9,Quartering,4.4,1.9,Beam,VLSFO,7.3,2435.42
Container,59883,48785,705.8,98.5,22.0,52,Moderate,2-Stroke,192025,161.0,Fixed Pitch,862,18.9,Constant,Inter-Monsoon,2,Following,1.1,0.6,Beam,HFO,0.0,876.07
Container,179055,129052,1155.7,162.0,19.4,71,Moderate,2-Stroke,290194,158.9,Fixed Pitch,4799,14.0,Constant,Inter-Monsoon,1,Beam,0.4,1.6,Following,VLSFO,0.0,5499.68
Bulker,296049,163696,1449.1,202.4,13.3,83,Moderate,2-Stroke,142578,163.7,Fixed Pitch,7385,7.0,Variable,Northeast Monsoon,7,Quartering,3.4,2.8,Beam,MGO,6.5,6133.29
LNG,103094,97151,905.0,126.2,17.5,85,Clean,2-Stroke,161419,163.3,Fixed Pitch,6420,14.0,Variable,Inter-Monsoon,1,Quartering,0.8,2.1,Head,HFO,3.0,9502.67
Bulker,47123,28723,640.2,89.4,14.2,65,Clean,2-Stroke,55649,166.4,Fixed Pitch,1695,7.5,Variable,Northeast Monsoon,8,Following,4.2,2.8,Following,HFO,5.9,296.64
Ro-Ro,34432,39962,558.3,78.7,16.9,92,Moderate,2-Stroke,80795,170.5,Fixed Pitch,4265,11.8,Constant,Northeast Monsoon,2,Head,1.1,2.0,Beam,VLSFO,0.0,2347.53
Tanker,346939,238081,1558.1,218.5,14.4,87,Clean,2-Stroke,182835,168.8,Controllable Pitch,3800,8.6,Constant,Inter-Monsoon,8,Following,4.1,2.4,Head,HFO,0.0,7126.21
Bulker,35139,19848,555.5,77.0,15.3,52,Moderate,2-Stroke,64417,163.6,Fixed Pitch,7763,12.1,Variable,Inter-Monsoon,1,Beam,0.7,1.0,Beam,MGO,0.1,3188.87
Container,72351,61541,766.7,106.4,24.6,98,Clean,2-Stroke,287803,165.2,Fixed Pitch,3389,21.8,Constant,Northeast Monsoon,8,Head,4.1,2.7,Beam,MGO,0.0,8129.76
Tanker,344774,254731,1550.0,217.5,14.6,72,Clean,2-Stroke,191740,170.0,Fixed Pitch,2411,7.4,Constant,Inter-Monsoon,2,Quartering,1.1,2.8,Head,HFO,0.0,4108.13
Ro-Ro,32943,35114,535.8,75.0,18.9,58,Clean,2-Stroke,89851,160.9,Fixed Pitch,5672,16.7,Variable,Southwest Monsoon,7,Following,3.9,0.5,Head,HFO,8.5,2999.2
LNG,83385,72842,814.7,112.7,16.6,70,Clean,2-Stroke,121503,163.0,Fixed Pitch,2210,9.1,Constant,Southwest Monsoon,6,Quartering,3.3,1.5,Following,VLSFO,0.0,955.54
LNG,88153,76627,836.2,116.7,19.2,83,Moderate,2-Stroke,187646,164.5,Fixed Pitch,1563,12.0,Variable,Northeast Monsoon,8,Quartering,3.9,0.1,Beam,VLSFO,7.7,1372.87
Tanker,167559,118554,1116.3,156.5,13.3,92,Clean,2-Stroke,94446,163.3,Fixed Pitch,4453,11.2,Constant,Inter-Monsoon,1,Beam,0.3,0.8,Following,VLSFO,0.0,3371.96
Ro-Ro,14204,15531,375.8,52.0,19.8,76,Clean,2-Stroke,68942,162.6,Fixed Pitch,4840,10.2,Constant,Northeast Monsoon,6,Beam,3.0,0.7,Following,HFO,0.0,1097.21
Tanker,239720,179540,1317.5,183.0,15.0,81,Moderate,2-Stroke,177371,154.8,Fixed Pitch,5358,8.4,Constant,Inter-Monsoon,6,Beam,2.7,0.4,Head,LNG,0.0,5343.99
LNG,68017,66225,746.6,104.9,19.4,87,Clean,2-Stroke,142077,162.4,Fixed Pitch,763,16.0,Constant,Inter-Monsoon,7,Following,3.8,1.7,Following,VLSFO,0.0,671.42
LNG,82567,75017,813.9,112.8,19.8,97,Moderate,2-Stroke,196190,169.0,Fixed Pitch,7832,16.0,Constant,Southwest Monsoon,1,Following,0.4,0.1,Beam,VLSFO,0.0,11038.85
Tanker,70924,47863,761.1,106.7,13.2,89,Clean,2-Stroke,63772,169.8,Fixed Pitch,5214,6.9,Variable,Inter-Monsoon,7,Quartering,3.8,1.7,Beam,VLSFO,2.5,2076.85
Container,212606,165197,1243.1,174.3,24.9,64,Heavy,2-Stroke,601235,164.2,Fixed Pitch,4984,23.5,Constant,Southwest Monsoon,8,Quartering,4.2,1.0,Head,VLSFO,0.0,21123.71
Tanker,62285,47765,717.7,100.8,15.3,98,Heavy,2-Stroke,89951,170.8,Fixed Pitch,4581,10.2,Variable,Southwest Monsoon,7,Quartering,3.2,1.6,Head,VLSFO,7.1,4172.28
Bulker,184627,107971,1171.8,163.2,12.3,82,Clean,2-Stroke,91150,165.2,Fixed Pitch,5087,8.9,Constant,Inter-Monsoon,5,Quartering,2.5,1.3,Following,HFO,0.0,2766.34
LNG,117541,96076,951.1,132.0,18.0,77,Clean,2-Stroke,177063,170.2,Controllable Pitch,3339,17.0,Variable,Northeast Monsoon,1,Beam,0.9,2.5,Beam,VLSFO,4.8,4598.56
Ro-Ro,37982,38643,567.2,78.0,17.6,73,Moderate,2-Stroke,85729,165.1,Fixed Pitch,1669,15.3,Constant,Southwest Monsoon,2,Following,1.0,2.4,Beam,HFO,0.0,1046.07
LNG,115264,96924,936.4,129.6,18.4,97,Moderate,2-Stroke,179441,163.6,Fixed Pitch,5647,13.4,Variable,Southwest Monsoon,3,Following,1.3,2.2,Following,VLSFO,2.4,4273.7
Ro-Ro,28334,28148,506.5,70.2,16.8,79,Clean,2-Stroke,70634,167.3,Fixed Pitch,1352,9.7,Constant,Inter-Monsoon,8,Head,4.0,2.5,Following,VLSFO,0.0,369.56
Container,144995,108388,1062.2,148.6,19.8,64,Clean,2-Stroke,279552,162.6,Fixed Pitch,2098,16.7,Constant,Inter-Monsoon,3,Head,1.6,2.3,Beam,HFO,0.0,3612.85
LNG,70545,63309,771.7,107.0,19.1,94,Clean,2-Stroke,143249,163.2,Fixed Pitch,7094,10.1,Constant,Southwest Monsoon,7,Following,3.8,1.9,Following,MGO,0.0,3335.95
Tanker,211626,140275,1249.8,174.9,15.4,86,Heavy,2-Stroke,189979,162.0,Fixed Pitch,7169,12.5,Constant,Inter-Monsoon,6,Head,2.8,2.6,Following,HFO,0.0,7523.07
Container,87017,67140,836.9,117.7,24.3,50,Moderate,2-Stroke,308550,165.4,Controllable Pitch,6638,14.2,Constant,Inter-Monsoon,5,Quartering,2.4,2.5,Head,VLSFO,0.0,7843.19
LNG,66472,56081,746.9,104.3,20.0,86,Clean,2-Stroke,161346,154.4,Fixed Pitch,6595,16.8,Constant,Southwest Monsoon,6,Head,3.2,2.9,Beam,VLSFO,0.0,7913.31
LNG,106845,105493,912.7,126.9,18.9,98,Heavy,2-Stroke,205664,153.4,Fixed Pitch,7935,15.7,Variable,Inter-Monsoon,9,Quartering,4.3,0.3,Following,HFO,3.0,12903.05
Ro-Ro,42894,44598,609.3,84.5,20.4,88,Moderate,2-Stroke,122910,162.0,Fixed Pitch,6373,18.7,Variable,Inter-Monsoon,6,Beam,3.2,1.5,Following,MGO,3.8,4973.43
Ro-Ro,14223,16303,360.7,52.2,20.0,88,Heavy,2-Stroke,69195,166.3,Controllable Pitch,1358,18.3,Constant,Southwest Monsoon,5,Beam,2.6,1.6,Following,VLSFO,0.0,658.07
Ro-Ro,59139,64495,703.9,100.4,20.4,82,Moderate,2-Stroke,152692,168.1,Controllable Pitch,3687,12.1,Constant,Southwest Monsoon,9,Beam,4.1,2.2,Following,VLSFO,0.0,1816.22
LNG,65602,54075,732.1,103.6,17.2,85,Clean,2-Stroke,110071,164.2,Fixed Pitch,1298,11.2,Constant,Southwest Monsoon,7,Quartering,3.4,0.4,Following,HFO,0.0,774.78
Ro-Ro,31194,35725,527.3,74.5,19.7,87,Clean,2-Stroke,99788,165.1,Fixed Pitch,7753,11.0,Variable,Inter-Monsoon,7,Quartering,3.4,1.9,Head,VLSFO,5.6,4542.47
Tanker,393204,281700,1644.0,232.1,15.8,80,Clean,2-Stroke,268141,149.3,Fixed Pitch,698,10.7,Constant,Inter-Monsoon,7,Head,3.5,2.7,Beam,VLSFO,0.0,1441.17
Ro-Ro,36705,39294,573.3,79.6,19.1,50,Moderate,2-Stroke,110188,162.7,Fixed Pitch,921,13.7,Constant,Inter-Monsoon,3,Quartering,1.9,2.8,Beam,VLSFO,0.0,507.91
Container,171228,124996,1129.6,159.1,24.2,94,Clean,2-Stroke,507516,172.4,Fixed Pitch,1728,19.3,Constant,Southwest Monsoon,2,Quartering,1.0,1.4,Following,VLSFO,0.0,4216.86
Ro-Ro,48874,51803,645.5,91.6,17.8,99,Moderate,2-Stroke,106648,157.3,Controllable Pitch,7007,10.9,Constant,Southwest Monsoon,4,Beam,2.0,1.9,Beam,VLSFO,0.0,3945.29
LNG,79223,64562,800.3,111.8,17.3,61,Clean,2-Stroke,132405,168.1,Fixed Pitch,2335,13.9,Constant,Northeast Monsoon,8,Quartering,4.0,0.5,Beam,VLSFO,0.0,2061.5
Container,105909,86831,918.2,127.3,24.5,60,Clean,2-Stroke,395074,164.3,Fixed Pitch,2021,14.7,Constant,Southwest Monsoon,8,Beam,4.1,1.7,Head,HFO,0.0,3447.64
Container,132293,102781,1011.1,142.2,24.5,57,Clean,2-Stroke,447863,162.5,Fixed Pitch,3998,20.0,Variable,Northeast Monsoon,7,Following,3.8,1.3,Following,MGO,1.4,6385.51
Container,162410,141295,1109.6,155.7,18.4,94,Moderate,2-Stroke,224910,174.0,Controllable Pitch,4715,11.4,Variable,Southwest Monsoon,8,Quartering,3.9,0.3,Following,VLSFO,1.0,5765.31
Ro-Ro,58497,69645,703.5,98.8,19.2,60,Clean,2-Stroke,136316,164.3,Fixed Pitch,1454,11.2,Variable,Southwest Monsoon,9,Head,4.3,0.4,Following,VLSFO,8.5,826.14
Tanker,387248,275411,1627.5,227.3,13.0,99,Moderate,2-Stroke,177513,164.5,Fixed Pitch,6077,7.4,Constant,Inter-Monsoon,3,Beam,1.3,1.7,Beam,HFO,0.0,7739.99
Tanker,56794,42958,690.4,96.3,13.9,55,Clean,2-Stroke,63976,178.1,Fixed Pitch,4620,12.4,Constant,Inter-Monsoon,8,Quartering,4.1,2.2,Following,MGO,0.0,1735.75
Container,32410,27612,531.5,75.5,24.3,94,Moderate,2-Stroke,166912,160.3,Fixed Pitch,2376,21.1,Constant,Inter-Monsoon,7,Beam,3.3,2.3,Beam,HFO,0.0,2420.12
Container,43762,33096,609.8,85.3,22.0,56,Heavy,2-Stroke,178266,175.1,Fixed Pitch,5169,14.8,Constant,Southwest Monsoon,8,Beam,3.7,0.2,Head,VLSFO,0.0,4232.96
Ro-Ro,57563,61306,699.1,97.6,20.2,68,Clean,2-Stroke,157947,152.4,Controllable Pitch,859,11.3,Constant,Northeast Monsoon,3,Head,1.5,1.9,Following,VLSFO,0.0,465.78
Bulker,121468,74814,976.9,136.7,12.8,62,Clean,2-Stroke,74431,163.4,Controllable Pitch,2106,7.9,Constant,Inter-Monsoon,4,Quartering,2.4,2.9,Beam,HFO,0.0,960.62
Ro-Ro,47576,50981,633.8,88.9,18.3,85,Moderate,2-Stroke,113859,167.0,Fixed Pitch,7294,13.2,Variable,Inter-Monsoon,4,Head,1.9,2.0,Following,VLSFO,0.9,3966.61
Tanker,196591,142836,1207.6,170.6,14.3,54,Clean,2-Stroke,151829,167.7,Fixed Pitch,1848,10.6,Variable,Inter-Monsoon,5,Quartering,2.3,0.8,Head,VLSFO,2.5,2116.7
Container,165596,125095,1113.3,155.1,21.9,82,Moderate,2-Stroke,358070,163.5,Fixed Pitch,793,20.7,Variable,Northeast Monsoon,6,Beam,3.0,1.0,Beam,VLSFO,9.0,2233.82
Ro-Ro,25162,25634,475.5,65.6,16.4,59,Heavy,2-Stroke,60299,170.4,Fixed Pitch,1472,8.3,Constant,Inter-Monsoon,1,Following,0.5,1.9,Beam,VLSFO,0.0,438.83
Tanker,194001,141824,1203.4,167.2,16.5,63,Heavy,2-Stroke,211643,176.9,Fixed Pitch,5469,8.7,Variable,Southwest Monsoon,7,Following,3.9,1.4,Head,MGO,8.4,6724.28
Ro-Ro,17964,17835,411.0,56.3,18.3,85,Moderate,2-Stroke,56703,165.7,Fixed Pitch,3032,9.4,Constant,Southwest Monsoon,8,Head,3.8,0.4,Beam,HFO,0.0,871.55
Tanker,122339,80386,974.8,137.4,15.0,80,Clean,2-Stroke,111226,158.3,Controllable Pitch,6183,11.2,Variable,Northeast Monsoon,1,Following,0.6,2.8,Following,MGO,4.4,2648.65
Bulker,125993,72710,981.5,136.7,14.5,97,Heavy,2-Stroke,110736,167.8,Controllable Pitch,7208,10.6,Variable,Southwest Monsoon,6,Following,3.0,0.9,Head,LNG,0.1,8445.35
Tanker,78896,51023,799.7,111.1,15.4,86,Clean,2-Stroke,105642,162.4,Controllable Pitch,1437,11.3,Constant,Southwest Monsoon,9,Beam,4.5,0.1,Head,HFO,0.0,1167.96
Container,178103,153077,1151.0,162.5,24.8,66,Clean,2-Stroke,467922,163.6,Fixed Pitch,4126,16.6,Constant,Northeast Monsoon,3,Quartering,1.7,1.9,Head,VLSFO,0.0,8491.82
Tanker,170165,127893,1133.1,159.2,16.4,80,Moderate,2-Stroke,189314,164.5,Fixed Pitch,2057,12.3,Variable,Inter-Monsoon,5,Following,2.5,2.1,Following,VLSFO,8.6,1683.13
Container,161878,118188,1101.1,154.7,18.2,70,Clean,2-Stroke,232784,165.5,Fixed Pitch,5714,10.1,Variable,Inter-Monsoon,8,Following,4.1,1.4,Head,HFO,4.8,6531.4
Container,200719,151612,1217.0,170.7,22.9,54,Moderate,2-Stroke,486509,158.9,Fixed Pitch,586,16.5,Variable,Inter-Monsoon,3,Quartering,1.7,0.9,Beam,VLSFO,2.8,1198.58
Bulker,137736,77697,1032.2,143.9,14.3,65,Clean,2-Stroke,117151,159.1,Fixed Pitch,2986,7.9,Constant,Northeast Monsoon,5,Beam,2.2,2.1,Beam,VLSFO,0.0,1711.96
Tanker,180303,121789,1160.3,161.7,14.8,62,Clean,2-Stroke,141728,166.6,Fixed Pitch,6343,13.3,Variable,Inter-Monsoon,2,Following,0.8,0.7,Head,HFO,2.9,7867.02
Ro-Ro,24006,26991,473.0,64.2,17.9,85,Clean,2-Stroke,73663,164.1,Fixed Pitch,1634,14.7,Constant,Inter-Monsoon,1,Following,0.8,2.5,Beam,HFO,0.0,857.33
LNG,119017,107169,968.5,136.8,19.6,68,Moderate,2-Stroke,223728,177.4,Fixed Pitch,7503,12.5,Constant,Southwest Monsoon,2,Following,1.2,1.4,Beam,HFO,0.0,7593.0
Tanker,169365,126240,1130.9,157.0,13.6,81,Moderate,2-Stroke,123836,167.1,Fixed Pitch,3108,10.5,Constant,Northeast Monsoon,7,Head,3.5,1.0,Beam,VLSFO,0.0,3981.88
Ro-Ro,58179,67803,693.7,96.1,18.2,54,Clean,2-Stroke,123202,163.1,Fixed Pitch,4136,11.9,Variable,Northeast Monsoon,5,Beam,2.4,2.0,Head,VLSFO,1.6,2999.79
LNG,104526,102175,908.7,127.1,18.3,75,Clean,2-Stroke,161058,158.5,Fixed Pitch,2232,11.1,Variable,Northeast Monsoon,2,Quartering,1.0,0.0,Following,VLSFO,4.5,1501.38
Container,34101,28420,545.7,76.6,22.5,97,Clean,2-Stroke,162545,168.9,Controllable Pitch,7588,15.4,Constant,Northeast Monsoon,7,Head,3.2,0.5,Beam,HFO,0.0,6952.87
Tanker,129308,95558,1002.7,140.4,14.7,71,Moderate,2-Stroke,116507,176.3,Fixed Pitch,2315,7.7,Constant,Northeast Monsoon,7,Head,3.6,0.1,Head,HFO,0.0,1627.01
Ro-Ro,28635,33084,505.4,68.9,16.0,63,Moderate,2-Stroke,56572,158.1,Fixed Pitch,5317,14.3,Constant,Northeast Monsoon,9,Quartering,4.8,0.1,Beam,HFO,0.0,2602.52
LNG,63239,54622,721.0,99.3,19.6,68,Heavy,2-Stroke,144029,165.6,Fixed Pitch,1808,13.5,Variable,Inter-Monsoon,6,Beam,3.1,1.4,Beam,VLSFO,1.5,1379.23
Ro-Ro,44408,47227,627.3,87.2,20.2,86,Moderate,2-Stroke,140378,162.0,Fixed Pitch,1918,17.7,Constant,Inter-Monsoon,8,Beam,3.9,0.8,Following,VLSFO,0.0,1834.57
Tanker,128570,96580,997.1,139.6,14.7,80,Clean,2-Stroke,122886,150.2,Fixed Pitch,2623,10.7,Constant,Inter-Monsoon,3,Head,1.4,1.1,Following,VLSFO,0.0,1925.34
Bulker,265543,151003,1369.5,192.4,12.5,73,Moderate,2-Stroke,112530,167.0,Fixed Pitch,3688,7.8,Constant,Inter-Monsoon,1,Quartering,0.7,0.3,Head,HFO,0.0,3248.87
Ro-Ro,15746,16936,385.8,54.9,20.1,88,Heavy,2-Stroke,68066,170.5,Fixed Pitch,6504,13.6,Constant,Inter-Monsoon,9,Following,4.8,2.6,Beam,HFO,0.0,2462.79
Ro-Ro,58258,60684,694.2,98.6,16.2,54,Moderate,2-Stroke,97657,171.9,Controllable Pitch,3846,14.0,Constant,Inter-Monsoon,3,Beam,1.3,0.3,Following,HFO,0.0,2412.49
LNG,90112,76953,851.0,118.3,17.7,81,Heavy,2-Stroke,152779,166.3,Fixed Pitch,5024,16.5,Constant,Southwest Monsoon,2,Following,1.1,2.2,Head,HFO,0.0,8951.11
Ro-Ro,12792,13688,347.0,47.3,19.1,71,Clean,2-Stroke,53055,164.9,Fixed Pitch,3248,15.5,Constant,Southwest Monsoon,6,Quartering,3.1,0.8,Beam,HFO,0.0,1086.15
Container,34017,27705,550.3,77.4,21.0,93,Heavy,2-Stroke,119049,173.0,Controllable Pitch,5721,18.7,Constant,Northeast Monsoon,9,Head,4.7,1.9,Following,HFO,0.0,5685.22
Ro-Ro,52771,58260,669.7,94.4,18.6,62,Moderate,2-Stroke,133437,170.3,Fixed Pitch,6591,16.4,Constant,Inter-Monsoon,2,Beam,1.2,0.4,Head,LNG,0.0,6344.75
Bulker,223841,122574,1270.8,175.9,15.0,58,Clean,2-Stroke,183609,168.7,Fixed Pitch,2885,11.4,Constant,Southwest Monsoon,7,Following,3.5,2.1,Head,VLSFO,0.0,4970.95
Ro-Ro,57196,61624,682.9,96.8,17.0,62,Moderate,2-Stroke,103805,165.3,Fixed Pitch,5522,16.0,Variable,Inter-Monsoon,1,Quartering,0.7,1.7,Beam,LNG,3.8,4369.15
Container,185396,151412,1168.9,162.8,24.2,82,Moderate,2-Stroke,487990,172.2,Controllable Pitch,4701,16.5,Constant,Inter-Monsoon,2,Beam,1.1,2.0,Following,VLSFO,0.0,7738.03
Tanker,303844,220134,1463.8,205.8,16.4,63,Heavy,2-Stroke,265929,167.7,Fixed Pitch,4612,12.3,Constant,Northeast Monsoon,9,Head,4.4,2.0,Head,MGO,0.0,14310.74
Bulker,40218,24966,587.6,82.9,13.5,55,Clean,2-Stroke,48574,163.7,Fixed Pitch,733,8.1,Variable,Inter-Monsoon,9,Beam,4.6,1.9,Beam,VLSFO,6.8,209.85
Tanker,290483,186958,1434.6,199.9,14.7,53,Heavy,2-Stroke,188757,155.9,Fixed Pitch,5329,10.0,Constant,Southwest Monsoon,3,Beam,1.5,3.0,Head,VLSFO,0.0,10721.64
LNG,118554,104451,959.3,133.2,17.7,52,Moderate,2-Stroke,168818,172.1,Fixed Pitch,5416,12.2,Constant,Inter-Monsoon,4,Following,1.8,0.0,Following,MGO,0.0,4424.07
Container,42173,36697,609.3,85.2,24.2,89,Clean,2-Stroke,207789,158.1,Controllable Pitch,3868,13.9,Constant,Inter-Monsoon,4,Head,2.1,0.4,Beam,HFO,0.0,3145.26
Ro-Ro,12432,13148,353.2,49.4,19.2,95,Moderate,2-Stroke,60447,174.9,Fixed Pitch,6613,12.7,Constant,Inter-Monsoon,1,Following,0.4,2.1,Beam,HFO,0.0,2119.24
